time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active
1778196011.016,4686.772,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196011.517,4687.274,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196012.018,4687.775,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196012.520,4688.276,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196013.021,4688.778,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196013.523,4689.279,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196014.024,4689.781,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196014.526,4690.282,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196015.027,4690.784,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196015.529,4691.285,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196016.030,4691.787,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196016.532,4692.288,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196017.033,4692.790,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196017.534,4693.291,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196018.036,4693.792,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196018.538,4694.294,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196019.039,4694.795,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196019.540,4695.297,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196020.042,4695.798,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196020.543,4696.300,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196021.045,4696.801,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196021.546,4697.302,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196022.047,4697.804,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196022.549,4698.305,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196023.050,4698.807,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196023.501,4699.258,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196024.003,4699.759,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196024.504,4700.261,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196025.006,4700.762,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196025.507,4701.264,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196026.009,4701.765,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196026.511,4702.267,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196027.012,4702.769,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196027.514,4703.270,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196028.016,4703.773,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196028.518,4704.275,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196029.020,4704.777,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196029.521,4705.278,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196030.023,4705.779,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196030.524,4706.280,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196031.025,4706.782,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196031.527,4707.283,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196032.028,4707.785,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196032.530,4708.286,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196033.031,4708.788,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196033.534,4709.290,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196034.035,4709.792,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196034.537,4710.293,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196035.038,4710.795,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196035.540,4711.296,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196036.041,4711.798,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196036.543,4712.299,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196037.044,4712.801,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196037.546,4713.302,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196038.047,4713.804,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196038.549,4714.305,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196039.050,4714.807,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196039.502,4715.258,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196040.003,4715.759,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196040.504,4716.261,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196041.006,4716.762,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196041.508,4717.264,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196042.009,4717.766,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196042.510,4718.267,0,0,1,0,0,0,0,0,0,0,0,0,1
1778196043.012,4718.768,0,0,1,0,0,0,0,0,0,0,0,0,1
