time_unix,monotonic,termination_altitude_m,burst_altitude_m,burst_altitude_uncertainty_m,ascent_detect_window_s,ascent_detect_gain_m,apogee_fraction,landing_fraction,recovery_stationary_s,termination_confirm_drop_m,termination_confirm_window_s,rw_kp,rw_kd,rw_max_rpm,mm_kp,mm_kd,mm_max_current,pointing_activate_altitude_m,pointing_duration_min
1778196976.491,5652.247,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778196981.459,5657.215,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778196986.473,5662.229,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778196991.490,5667.246,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778196996.455,5672.212,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197001.471,5677.228,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197006.488,5682.245,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197011.457,5687.214,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197016.474,5692.230,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197021.490,5697.246,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197026.458,5702.215,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197031.474,5707.230,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197036.491,5712.248,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197041.459,5717.216,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197046.480,5722.236,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197051.497,5727.254,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197056.463,5732.220,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197061.480,5737.237,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197066.495,5742.252,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197071.461,5747.218,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197076.476,5752.233,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
1778197081.492,5757.248,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0
