time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778197166.000,5841.756,0.0,0.0,0.0,0.0
1778197166.501,5842.258,0.0,0.0,0.0,0.0
1778197167.003,5842.759,0.0,0.0,0.0,0.0
1778197167.504,5843.261,0.0,0.0,0.0,0.0
1778197168.005,5843.762,0.0,0.0,0.0,0.0
1778197168.507,5844.264,0.0,0.0,0.0,0.0
1778197169.009,5844.765,0.0,0.0,0.0,0.0
1778197169.510,5845.267,0.0,0.0,0.0,0.0
1778197169.962,5845.718,0.0,0.0,0.0,0.0
1778197170.463,5846.219,0.0,0.0,0.0,0.0
1778197170.965,5846.721,0.0,0.0,0.0,0.0
1778197171.466,5847.223,0.0,0.0,0.0,0.0
1778197171.968,5847.724,0.0,0.0,0.0,0.0
1778197172.469,5848.225,0.0,0.0,0.0,0.0
1778197172.971,5848.727,0.0,0.0,0.0,0.0
1778197173.472,5849.229,0.0,0.0,0.0,0.0
1778197173.974,5849.730,0.0,0.0,0.0,0.0
1778197174.475,5850.232,0.0,0.0,0.0,0.0
1778197174.977,5850.733,0.0,0.0,0.0,0.0
1778197175.478,5851.235,0.0,0.0,0.0,0.0
1778197175.979,5851.736,0.0,0.0,0.0,0.0
1778197176.481,5852.237,0.0,0.0,0.0,0.0
1778197176.982,5852.739,0.0,0.0,0.0,0.0
1778197177.484,5853.240,0.0,0.0,0.0,0.0
1778197177.985,5853.742,0.0,0.0,0.0,0.0
1778197178.487,5854.243,0.0,0.0,0.0,0.0
1778197178.988,5854.745,0.0,0.0,0.0,0.0
1778197179.490,5855.246,0.0,0.0,0.0,0.0
1778197179.991,5855.748,0.0,0.0,0.0,0.0
1778197180.493,5856.250,0.0,0.0,0.0,0.0
1778197180.996,5856.752,0.0,0.0,0.0,0.0
1778197181.497,5857.254,0.0,0.0,0.0,0.0
1778197181.998,5857.755,0.0,0.0,0.0,0.0
1778197182.500,5858.256,0.0,0.0,0.0,0.0
1778197183.001,5858.758,0.0,0.0,0.0,0.0
