time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1778197141.677,5817.434,0.0,0.0,0.0,22.5,0.0,0
1778197142.129,5817.885,0.0,0.0,0.0,22.5,0.0,0
1778197142.630,5818.387,0.0,0.0,0.0,22.5,0.0,0
1778197143.131,5818.888,0.0,0.0,0.0,22.5,0.0,0
1778197143.633,5819.389,0.0,0.0,0.0,22.5,0.0,0
1778197144.134,5819.891,0.0,0.0,0.0,22.5,0.0,0
1778197144.636,5820.392,0.0,0.0,0.0,22.5,0.0,0
1778197145.137,5820.894,0.0,0.0,0.0,22.5,0.0,0
1778197145.639,5821.396,0.0,0.0,0.0,22.5,0.0,0
1778197146.141,5821.898,0.0,0.0,0.0,22.5,0.0,0
1778197146.643,5822.399,0.0,0.0,0.0,22.5,0.0,0
1778197147.144,5822.901,0.0,0.0,0.0,22.5,0.0,0
1778197147.645,5823.402,0.0,0.0,0.0,22.5,0.0,0
1778197148.147,5823.903,0.0,0.0,0.0,22.5,0.0,0
1778197148.648,5824.405,0.0,0.0,0.0,22.5,0.0,0
1778197149.150,5824.906,0.0,0.0,0.0,22.5,0.0,0
1778197149.651,5825.408,0.0,0.0,0.0,22.5,0.0,0
1778197150.153,5825.909,0.0,0.0,0.0,22.5,0.0,0
1778197150.654,5826.411,0.0,0.0,0.0,22.5,0.0,0
1778197151.156,5826.912,0.0,0.0,0.0,22.5,0.0,0
1778197151.657,5827.414,0.0,0.0,0.0,22.5,0.0,0
1778197152.158,5827.915,0.0,0.0,0.0,22.5,0.0,0
1778197152.660,5828.416,0.0,0.0,0.0,22.5,0.0,0
1778197153.162,5828.918,0.0,0.0,0.0,22.5,0.0,0
1778197153.664,5829.420,0.0,0.0,0.0,22.5,0.0,0
1778197154.165,5829.922,0.0,0.0,0.0,22.5,0.0,0
1778197154.667,5830.423,0.0,0.0,0.0,22.5,0.0,0
1778197155.168,5830.924,0.0,0.0,0.0,22.5,0.0,0
1778197155.669,5831.426,0.0,0.0,0.0,22.5,0.0,0
1778197156.171,5831.927,0.0,0.0,0.0,22.5,0.0,0
1778197156.672,5832.429,0.0,0.0,0.0,22.5,0.0,0
1778197157.174,5832.930,0.0,0.0,0.0,22.5,0.0,0
1778197157.675,5833.432,0.0,0.0,0.0,22.5,0.0,0
1778197158.177,5833.933,0.0,0.0,0.0,22.5,0.0,0
1778197158.628,5834.384,0.0,0.0,0.0,22.5,0.0,0
1778197159.129,5834.886,0.0,0.0,0.0,22.5,0.0,0
1778197159.630,5835.387,0.0,0.0,0.0,22.5,0.0,0
1778197160.132,5835.888,0.0,0.0,0.0,22.5,0.0,0
1778197160.634,5836.390,0.0,0.0,0.0,22.5,0.0,0
1778197161.135,5836.892,0.0,0.0,0.0,22.5,0.0,0
1778197161.637,5837.393,0.0,0.0,0.0,22.5,0.0,0
1778197162.138,5837.894,0.0,0.0,0.0,22.5,0.0,0
1778197162.640,5838.396,0.0,0.0,0.0,22.5,0.0,0
1778197163.142,5838.898,0.0,0.0,0.0,22.5,0.0,0
1778197163.643,5839.400,0.0,0.0,0.0,22.5,0.0,0
1778197164.145,5839.901,0.0,0.0,0.0,22.5,0.0,0
1778197164.646,5840.402,0.0,0.0,0.0,22.5,0.0,0
1778197165.147,5840.904,0.0,0.0,0.0,22.5,0.0,0
1778197165.649,5841.405,0.0,0.0,0.0,22.5,0.0,0
1778197166.150,5841.907,0.0,0.0,0.0,22.5,0.0,0
1778197166.651,5842.408,0.0,0.0,0.0,22.5,0.0,0
1778197167.153,5842.910,0.0,0.0,0.0,22.5,0.0,0
1778197167.654,5843.411,0.0,0.0,0.0,22.5,0.0,0
1778197168.156,5843.913,0.0,0.0,0.0,22.5,0.0,0
1778197168.658,5844.414,0.0,0.0,0.0,22.5,0.0,0
1778197169.159,5844.916,0.0,0.0,0.0,22.5,0.0,0
1778197169.661,5845.417,0.0,0.0,0.0,22.5,0.0,0
1778197170.162,5845.919,0.0,0.0,0.0,22.5,0.0,0
1778197170.664,5846.420,0.0,0.0,0.0,22.5,0.0,0
1778197171.165,5846.922,0.0,0.0,0.0,22.5,0.0,0
1778197171.667,5847.423,0.0,0.0,0.0,22.5,0.0,0
1778197172.168,5847.925,0.0,0.0,0.0,22.5,0.0,0
1778197172.669,5848.426,0.0,0.0,0.0,22.5,0.0,0
1778197173.171,5848.928,0.0,0.0,0.0,22.5,0.0,0
1778197173.673,5849.429,0.0,0.0,0.0,22.5,0.0,0
1778197174.174,5849.931,0.0,0.0,0.0,22.5,0.0,0
1778197174.676,5850.432,0.0,0.0,0.0,22.5,0.0,0
